seed,k,classifier,negative_type,accuracy,precision,recall,f1,roc_auc,TP,TN,FP,FN
0,4,cb,random,0.79125,0.7754137115839244,0.82,0.7970838396111786,0.7912499999999999,328,305,95,72
1,4,cb,random,0.78625,0.7681498829039812,0.82,0.7932285368802902,0.7862499999999999,328,301,99,72
2,4,cb,random,0.7875,0.7751196172248804,0.81,0.7921760391198044,0.7875000000000001,324,306,94,76
3,4,cb,random,0.785,0.7727272727272727,0.8075,0.7897310513447433,0.785,323,305,95,77
4,4,cb,random,0.79375,0.7804295942720764,0.8175,0.7985347985347986,0.79375,327,308,92,73
5,4,cb,random,0.79625,0.7925925925925926,0.8025,0.7975155279503106,0.79625,321,316,84,79
6,4,cb,random,0.8,0.7830188679245284,0.83,0.8058252427184466,0.8,332,308,92,68
7,4,cb,random,0.80625,0.7995110024449877,0.8175,0.8084054388133498,0.80625,327,318,82,73
8,4,cb,random,0.79875,0.7852028639618138,0.8225,0.8034188034188035,0.7987500000000001,329,310,90,71
9,4,cb,random,0.785,0.7766990291262136,0.8,0.7881773399014779,0.785,320,308,92,80
